name_id,year,rank,name,artist,url,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_1,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_2,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_3,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_4,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_5,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_6,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_7,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_8,c_h_r_o_m_a___c_e_n_s___m_e_a_n___0_9,c_h_r_o_m_a___c_e_n_s___m_e_a_n___1_0,c_h_r_o_m_a___c_e_n_s___m_e_a_n___1_1,c_h_r_o_m_a___c_e_n_s___m_e_a_n___1_2,h_a_r_m_o_n_i_c___r_m_s_e___m_e_a_n___0_1,m_f_c_c___m_e_a_n___0_1,m_f_c_c___m_e_a_n___0_2,m_f_c_c___m_e_a_n___0_3,m_f_c_c___m_e_a_n___0_4,m_f_c_c___m_e_a_n___0_5,m_f_c_c___m_e_a_n___0_6,m_f_c_c___m_e_a_n___0_7,m_f_c_c___m_e_a_n___0_8,m_f_c_c___m_e_a_n___0_9,m_f_c_c___m_e_a_n___1_0,m_f_c_c___m_e_a_n___1_1,m_f_c_c___m_e_a_n___1_2,m_f_c_c___m_e_a_n___1_3,m_f_c_c___m_e_a_n___1_4,m_f_c_c___m_e_a_n___1_5,m_f_c_c___m_e_a_n___1_6,m_f_c_c___m_e_a_n___1_7,m_f_c_c___m_e_a_n___1_8,m_f_c_c___m_e_a_n___1_9,m_f_c_c___m_e_a_n___2_0,o_n_s_e_t___s_t_r_e_n_g_t_h___m_e_a_n___0_1,p_e_r_c_u_s_s_i_v_e___r_m_s_e___m_e_a_n___0_1,p_i_t_c_h___m_e_a_n___0_1,r_m_s_e___m_e_a_n___0_1,s_p_e_c_t_r_a_l___b_a_n_d_w_i_d_t_h___m_e_a_n___0_1,s_p_e_c_t_r_a_l___c_e_n_t_r_o_i_d___m_e_a_n___0_1,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_1,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_2,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_3,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_4,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_5,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_6,s_p_e_c_t_r_a_l___c_o_n_t_r_a_s_t___m_e_a_n___0_7,s_p_e_c_t_r_a_l___f_l_a_t_n_e_s_s___m_e_a_n___0_1,s_p_e_c_t_r_a_l___r_o_l_l_o_f_f___m_e_a_n___0_1,t_e_m_p_o___m_e_a_n___0_1,t_o_n_n_e_t_z___m_e_a_n___0_1,t_o_n_n_e_t_z___m_e_a_n___0_2,t_o_n_n_e_t_z___m_e_a_n___0_3,t_o_n_n_e_t_z___m_e_a_n___0_4,t_o_n_n_e_t_z___m_e_a_n___0_5,t_o_n_n_e_t_z___m_e_a_n___0_6,z_c_r___m_e_a_n___0_1,t_e_m_p_o_g_r_a_m___m_e_a_n___0_1
0,2020,1,Blinding Lights,The Weeknd,https://www.youtube.com/watch?v=4NRXx6U8ABQ,0.409949421882629,0.397607356309891,0.370745480060577,0.303120732307434,0.26183146238327,0.224377617239952,0.226254314184189,0.214485988020897,0.18944439291954,0.142885625362396,0.200840622186661,0.142955213785172,0.155851826071739,-148.07780456543,159.362426757812,-25.4233016967773,43.0077438354492,-3.94580674171448,17.6043224334717,-0.228902906179428,10.4030313491821,4.83470249176025,4.25465488433838,4.49240493774414,4.60206508636475,8.59638118743896,1.09592318534851,5.59892988204956,-0.615935206413269,4.22228479385376,-1.57438588142395,0.471490859985352,-0.209373041987419,1.04115557670593,0.0592312589287757,1149.89099121094,0.120596366689251,1216.24087874784,992.69039839976,16.0212822452769,13.494909945417,15.7701372331589,15.6998976359585,17.5276372832332,23.6727588077697,45.776980177568,0.0191796664148569,2072.76700657544,85.2272727272727,-0.0259187622949813,0.0518928774012532,-0.0352794038894592,0.0206619964991227,0.0216123285760014,0.0132967671334797,0.0397590413077485,0.23791639356457
1,2020,2,Circles,Post Malone,https://www.youtube.com/watch?v=wXhTHyIgQ_U,0.254776448011398,0.404704749584198,0.251687079668045,0.260776460170746,0.236256286501884,0.237156942486763,0.20081739127636,0.208350867033005,0.233416989445686,0.383117645978928,0.299962759017944,0.220395028591156,0.242720797657967,-124.736488342285,160.988220214844,-11.3112344741821,42.0230522155762,-13.7192316055298,23.8394660949707,-8.95892238616943,13.4939527511597,1.60317051410675,-2.72515869140625,2.22846555709839,-3.63114047050476,5.48851823806763,-1.79518210887909,4.25332450866699,0.235328957438469,0.187766537070274,-5.48178195953369,3.74714851379395,-5.44352531433105,1.09909307956696,0.0986334830522537,1017.74877929688,0.191425278503211,1297.34734542521,984.484459688674,17.2711450463566,15.1773526916616,17.8408324859626,17.1866956821628,19.4678417440599,24.6467375823882,46.2457293087855,0.0037776858080178,2140.99634183747,119.68085106383,-0.008566251990949,-0.0158435645023865,-0.105991162573678,-0.0076100856194353,0.0272595011995538,0.0085625032373129,0.0408709149797332,0.178948400721406
2,2020,3,The Box,Roddy Ricch,https://www.youtube.com/watch?v=UNZqm3dxd2w,0.344898134469986,0.37485933303833,0.301989763975143,0.403121590614319,0.279887527227402,0.246360808610916,0.232444509863853,0.204909577965736,0.150027707219124,0.194347336888313,0.216038689017296,0.220064163208008,0.17791847884655,-183.495178222656,147.700790405273,-11.5724124908447,29.050594329834,-12.2685079574585,14.2127885818481,-9.97642230987549,-2.42250633239746,3.59291911125183,0.457898944616318,2.47128033638,-0.628047347068787,1.66769957542419,-4.94164848327637,5.93816471099854,3.52602291107178,4.1379714012146,5.19534730911255,5.72433996200562,-2.6559636592865,1.24014365673065,0.0523778609931468,1241.05163574219,0.125268863712134,1254.19900488059,1068.6678971337,19.6042480591788,16.2661283829729,19.0889371809052,18.6625426521233,20.5586404644939,24.7182803267724,44.9779026875835,0.0033501680009067,2166.92184930099,117.1875,-0.037900305656787,0.0093691377974013,0.0030545156808356,0.0094484146167189,0.0221070943873523,0.0274558377983084,0.0457688410479323,0.189232462552691
3,2020,4,Don't Start Now,Dua Lipa,https://www.youtube.com/watch?v=oygrmJFKYZY,0.226172894239426,0.324863642454147,0.275672137737274,0.467056572437286,0.248773112893104,0.166635975241661,0.414870321750641,0.135266423225403,0.117843851447105,0.154313281178474,0.186748936772346,0.192993447184563,0.156268998980522,-135.342498779297,124.333000183105,-20.0064601898193,49.1487770080566,-12.9320468902588,33.3849258422852,-7.46866750717163,12.8427114486694,2.44164061546326,1.40604364871979,5.70353746414185,2.33067584037781,4.30265188217163,-1.52873909473419,5.51312923431396,-3.55512404441833,4.61421775817871,-1.82336533069611,0.835632383823395,-2.37128186225891,1.2476978302002,0.0798422321677208,1361.70983886719,0.13221260248663,1589.67296078381,1440.06654448007,18.4626185005564,15.6468321407608,17.3103555050856,16.8068678923654,18.295460755854,23.3264079742215,50.9417107216922,0.0118024721741676,3187.36301437621,125,-0.0705974248057049,-0.113962298750698,0.0540776808026681,-0.100545052541049,0.0217746555007836,0.076966154049271,0.0632314584836415,0.169794835718326
4,2020,5,Rockstar,"DaBaby,Roddy Ricch,",https://www.youtube.com/watch?v=83xBPCw5hh4,0.421090453863144,0.409987896680832,0.41818842291832,0.282371282577515,0.164896383881569,0.049889151006937,0.167760506272316,0.2006556391716,0.217394590377808,0.192356243729591,0.261029660701752,0.27346408367157,0.234754502773285,-175.61442565918,136.244094848633,-6.44072723388672,37.8361473083496,-10.7136135101318,24.8884258270264,-7.82541751861572,1.18545067310333,1.45972275733948,-2.04921698570251,-6.96200561523438,-3.01690816879272,-2.59834623336792,-8.5343132019043,0.696763455867767,-4.96502208709717,-2.04725050926208,-3.08178853988647,7.7080512046814,0.121531635522842,1.25653314590454,0.0594137161970138,1182.92504882812,0.162848728628586,1400.96861375564,1105.00097639548,21.1697106464365,17.5220172676622,18.5755817963612,18.7198147801689,20.3619362367495,23.976853518114,49.8597992401378,0.0001497137127444,2366.59214613849,119.68085106383,0.0019818369849854,0.0086296362113105,0.0347596548177854,-0.0143319091592447,0.0106732571953594,0.0105399819404269,0.0399650553137102,0.178788250189308
5,2020,6,Adore You,Harry Styles,https://www.youtube.com/watch?v=v8fLjiar1c8,0.308942437171936,0.457777321338654,0.344703108072281,0.303934037685394,0.207540541887283,0.258643239736557,0.155590534210205,0.185869202017784,0.124752968549728,0.297651082277298,0.195971295237541,0.198627904057503,0.0712582394480705,-208.288848876953,154.862213134766,-28.8357391357422,32.2462196350098,-13.6880922317505,9.43984508514404,-1.47236430644989,3.05712556838989,-4.70474433898926,-7.19760227203369,-4.41607284545898,0.314910441637039,2.46169185638428,-4.09805870056152,-1.89112627506256,-4.26513910293579,2.68885540962219,-2.71694731712341,2.69151377677917,-0.678758203983307,1.10711586475372,0.0355919748544693,1286.78576660156,0.0598116453857025,1257.02704203225,1076.4243547269,18.4225784845693,16.1865121340593,17.7542224910196,17.9072034965089,19.5158481978935,25.4193548988142,47.6784912312438,0.0005329545820131,2221.67233802237,130.813953488372,0.0097130713095938,0.0259951459207059,-0.10892638758656,-0.0179015045670629,0.0166144266125729,0.0135261474340668,0.0515383569923552,0.18219259209981
6,2020,7,Life Is Good,"Future,Drake,",https://www.youtube.com/watch?v=l0U7SxXHkPY,0.357412219047546,0.382485032081604,0.3682801425457,0.39963099360466,0.20771224796772,0.213912516832352,0.210065871477127,0.240287810564041,0.215339377522469,0.233296290040016,0.207572668790817,0.0920839235186576,0.123501718044281,-210.683654785156,125.751251220703,-1.04292869567871,40.7840728759766,-12.3823766708374,27.4222259521484,-3.05688977241516,0.463313490152359,-3.12418031692505,1.75624108314514,-2.15761995315552,-2.95535206794739,2.72954964637756,-2.32262110710144,4.3662257194519,0.494309633970261,4.36308670043945,-1.64049482345581,5.23053550720215,-0.276829451322555,1.43385004997253,0.0595208182930946,1266.48217773438,0.097300742396159,1478.78306885281,1380.73368775537,19.2790996911842,15.8498029933595,16.6578546850792,17.1999185051416,18.8763272845432,21.8003882405407,50.6354358659339,0.0003374756197445,2728.93876066188,140.625,-0.053403825950751,0.0671971889667306,-0.0315015390586475,-0.0020105185986959,0.0210426665206734,0.0381405190611684,0.0624984311625178,0.171468503714819
7,2020,8,Memories,Maroon 5,https://www.youtube.com/watch?v=SlPhMPnQ58k,0.300770968198776,0.389508217573166,0.337171316146851,0.323339611291885,0.248004704713821,0.264823019504547,0.176048576831818,0.211731657385826,0.242679461836815,0.252232700586319,0.209574714303017,0.230839774012566,0.122579962015152,-226.361206054688,153.847320556641,-11.1403751373291,43.8661155700684,-17.344482421875,22.2545185089111,-1.46276021003723,-0.746397435665131,-8.07457637786865,-6.07419538497925,-2.88067650794983,-11.0352468490601,2.82952570915222,-9.34546756744385,-0.895235896110535,-5.31102705001831,-5.29369831085205,-0.0318997949361801,-4.21172046661377,-8.805739402771,1.03499150276184,0.026767324656248,919.068420410156,0.0843768059554306,1250.63568790481,933.472958278725,20.5582448543563,17.8526337704058,17.6851281265444,18.3816663646939,19.8455363657167,24.1034063574858,45.9318357053208,0.0397379547357559,2018.52502707661,90.7258064516129,-0.0189274247821559,0.0094391572187394,-0.0450847406519936,0.023005697144819,-0.0025956765709835,-0.0023368665524978,0.0351098588770294,0.219540570977237
8,2020,9,The Bones,Maren Morris,https://www.youtube.com/watch?v=gvPMVKUI9go,0.452209591865539,0.275349617004394,0.332335472106934,0.313087612390518,0.231626346707344,0.221655711531639,0.0648310557007789,0.261113524436951,0.114502392709255,0.184682741761207,0.157433018088341,0.382295995950699,0.186263710260391,-155.295806884766,158.517333984375,-6.03895425796509,44.6690940856934,-3.87608623504639,23.6192798614502,-12.2636394500732,4.992919921875,-0.644793808460236,-3.61739277839661,10.2397470474243,-3.37484550476074,-2.22101473808289,2.53220272064209,-1.60265231132507,-5.76551580429077,4.905189037323,-4.00882387161255,-3.44690704345703,-1.66362249851227,1.01445531845093,0.0605610720813274,897.496765136719,0.139279328458005,1269.78488135864,953.582311361866,18.5762198050103,16.8256067732298,18.3940893278157,18.68140551817,22.8409324432555,26.005742926542,45.5740080915693,0.0062315701507031,2097.7765210887,152.027027027027,0.0676409261748723,0.105297321743446,0.0950730163519449,0.0820877851225717,-0.0187732360487341,0.0044998231408501,0.0355176051531041,0.206522881108931
9,2020,10,Someone You Loved,Lewis Capaldi,https://www.youtube.com/watch?v=RpCDLENt-MA,0.323646634817123,0.366131991147995,0.389161884784698,0.3221675157547,0.268633514642715,0.218109115958214,0.216243430972099,0.229084953665733,0.162740036845207,0.226158440113068,0.214499443769455,0.22907729446888,0.0804708376526832,-253.414566040039,176.234848022461,-13.5136499404907,25.6794300079346,-11.4824123382568,10.5054998397827,-4.63255929946899,-7.49242448806763,-2.4646201133728,-4.91600799560547,-10.1897592544556,-9.87807083129883,3.57293486595154,-5.92717123031616,-3.94945287704468,-4.08041143417358,-3.12929916381836,-5.54352569580078,-7.54244232177734,-5.78325939178467,0.947678029537201,0.0180337037891149,1001.99127197266,0.0557793037348135,1011.17519742569,787.916811507728,22.0577502956136,18.1242374736999,19.8615209294021,20.2736279017487,20.043866063681,25.4874618035777,42.3676073891938,0.011994601227343,1532.28110855853,108.173076923077,0.0269629920287448,0.0208157750555399,-0.0082770004195702,-0.0197550118222236,0.010828208858709,0.0084717140431092,0.0333513848935932,0.220787045983523
